model,median,p95,max,mean,n
gaussian_process,0.056,0.471,7.227,0.155,1588
poly3_de00_powell,0.867,6.075,32.666,1.759,1588
poly3_de00_nm,0.894,6.896,31.639,1.969,1588
poly3,0.942,8.31,33.978,2.184,1588
svm,1.017,5.387,23.175,1.675,1588
gradient_boost,1.541,6.959,29.019,2.343,1588
mlp_deep,1.729,11.8,48.645,3.165,1588
mlp_shallow,2.002,10.385,29.829,3.334,1588
knn,2.229,5.839,12.798,2.66,1588
random_forest,2.376,4.98,10.499,2.543,1588
decision_tree,4.611,9.648,24.345,5.058,1588
ridge,8.876,24.436,42.282,10.896,1588
elastic,8.876,24.373,42.449,10.87,1588
pcr,8.876,24.436,42.282,10.896,1588
lasso,8.886,24.479,42.589,10.845,1588
plsr,8.887,25.113,42.276,10.899,1588
