train,test,model,median,p95,max,mean,n
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,svm,4.284,7.566,11.36,4.438,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,mlp_deep,4.515,7.557,10.125,4.589,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,poly3,2.798,5.34,13.665,2.945,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,svm,2.776,5.323,7.441,2.898,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,mlp_deep,2.91,5.72,9.38,3.096,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,poly3,5.143,8.088,13.189,5.098,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,svm,5.014,8.501,10.832,5.031,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,mlp_deep,5.216,8.521,11.313,5.178,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,poly3,6.921,10.83,14.69,6.974,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,svm,6.757,11.213,15.502,6.925,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,mlp_deep,6.952,11.128,15.319,7.037,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,poly3,9.771,15.059,17.788,9.546,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,svm,9.788,15.315,18.72,9.496,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,mlp_deep,9.804,15.226,19.129,9.564,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,poly3,5.562,10.235,15.867,5.925,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,svm,5.47,10.299,15.595,5.855,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,mlp_deep,5.608,10.391,14.942,5.938,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,poly3,6.608,11.083,14.716,6.682,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,svm,6.452,11.47,14.823,6.619,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,mlp_deep,6.602,11.409,16.329,6.706,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,poly3,5.557,12.376,29.575,6.175,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,svm,5.544,12.68,29.423,6.148,1485
