train,test,model,median,p95,max,mean,n
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,poly3,4.754,11.01,28.043,5.226,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,svm,4.255,10.433,18.228,4.686,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,mlp_deep,4.449,10.538,19.856,4.887,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,poly3,4.203,8.539,26.731,4.538,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,svm,3.787,7.822,14.445,4.027,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,mlp_deep,3.813,8.273,12.491,4.208,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,poly3,3.829,9.207,28.537,4.378,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,svm,3.663,8.217,21.566,4.046,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,mlp_deep,3.882,8.59,25.694,4.266,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,poly3,3.266,7.263,26.624,3.673,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,svm,2.92,5.382,7.457,3.04,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,mlp_deep,3.098,6.21,10.505,3.319,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,poly3,3.189,7.169,26.534,3.591,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,svm,2.821,5.296,7.978,2.944,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,mlp_deep,2.986,5.999,10.717,3.246,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,poly3,5.626,10.987,25.963,5.973,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,svm,5.132,9.786,13.923,5.457,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,mlp_deep,5.136,9.96,15.274,5.529,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,poly3,7.304,14.453,28.201,7.724,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,svm,6.808,12.117,15.134,6.94,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,mlp_deep,6.772,11.597,16.114,6.844,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,poly3,9.499,18.753,29.024,9.958,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,svm,9.843,15.19,18.545,9.402,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,mlp_deep,9.604,15.148,18.82,9.33,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,poly3,6.837,13.993,28.758,7.363,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,svm,6.523,11.106,13.963,6.575,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,mlp_deep,6.57,10.37,15.159,6.508,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,poly3,10.431,17.469,29.253,10.368,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,svm,10.198,15.519,19.302,9.809,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,mlp_deep,10.289,14.979,17.372,9.752,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,poly3,5.837,12.734,28.941,6.602,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,svm,5.591,10.518,15.344,5.803,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,mlp_deep,5.7,10.114,16.431,5.749,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,poly3,6.041,12.741,29.132,6.437,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,svm,5.506,9.698,13.983,5.588,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,mlp_deep,5.546,9.241,13.051,5.591,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,poly3,7.748,15.16,30.543,8.111,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,svm,7.096,13.341,17.134,7.421,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,mlp_deep,7.381,13.08,17.521,7.478,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,poly3,6.651,13.053,29.796,7.145,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,svm,5.854,12.016,14.781,6.386,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,mlp_deep,6.135,11.658,15.843,6.383,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,poly3,6.214,11.902,31.407,6.753,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,svm,5.499,11.342,15.369,6.023,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,mlp_deep,5.797,10.624,15.215,6.013,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,poly3,6.182,12.743,29.617,6.762,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,svm,5.756,10.434,13.625,5.947,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,mlp_deep,5.976,9.974,16.382,5.942,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,poly3,6.124,12.659,29.621,6.713,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,svm,5.731,10.312,13.63,5.909,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,mlp_deep,5.95,9.874,16.313,5.891,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,poly3,8.009,16.086,28.924,8.652,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,svm,7.931,13.532,20.612,7.97,1485
IFRA-wb-PressJ_158_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,mlp_deep,7.844,13.127,19.131,7.92,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,poly3,4.21,11.357,31.188,4.853,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,svm,3.832,10.243,17.276,4.408,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,mlp_deep,4.16,11.794,18.58,4.803,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,poly3,5.622,12.249,28.67,6.227,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,svm,5.526,10.462,14.983,5.909,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,mlp_deep,5.477,11.422,18.306,6.122,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,poly3,4.501,11.361,29.102,5.095,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,svm,4.055,10.361,17.932,4.71,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,mlp_deep,4.342,11.666,16.733,5.059,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,poly3,5.673,9.645,29.477,5.809,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,svm,5.51,8.257,12.151,5.432,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,mlp_deep,5.59,9.343,16.256,5.714,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,poly3,3.872,8.768,29.944,4.369,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,svm,3.373,8.158,13.737,3.925,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,mlp_deep,3.993,9.34,16.615,4.365,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,poly3,4.461,10.701,30.783,5.11,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,svm,4.268,10.08,15.034,4.673,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,mlp_deep,4.412,11.299,16.558,5.057,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,poly3,7.315,14.413,29.541,7.772,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,svm,7.019,13.929,19.817,7.47,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,mlp_deep,7.409,14.356,21.198,7.811,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,poly3,4.442,9.88,30.409,4.93,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,svm,4.269,9.582,13.404,4.612,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,mlp_deep,4.738,10.284,16.608,5.059,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,poly3,3.575,11.445,30.362,4.498,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,svm,3.329,10.278,27.995,4.274,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,mlp_deep,3.729,11.538,29.408,4.721,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,poly3,4.0,10.236,29.202,4.637,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,svm,3.545,9.316,15.02,4.241,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,mlp_deep,4.12,10.443,16.498,4.69,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,poly3,3.955,10.172,29.852,4.597,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,svm,3.496,9.245,14.658,4.207,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,mlp_deep,4.007,10.74,16.323,4.646,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,poly3,5.501,11.313,29.317,5.885,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,svm,5.166,10.555,17.648,5.537,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,mlp_deep,5.373,11.391,19.346,5.829,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,poly3,3.97,9.653,32.519,4.547,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,svm,3.532,7.321,11.083,3.857,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,mlp_deep,3.501,9.17,19.592,4.172,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,poly3,6.497,13.637,33.745,7.097,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,svm,6.611,11.398,14.282,6.653,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,mlp_deep,6.395,12.819,18.277,6.909,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,poly3,4.199,9.69,33.345,4.794,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,svm,4.032,7.437,10.369,4.169,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,mlp_deep,3.912,9.094,19.748,4.483,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,poly3,7.898,12.658,33.745,7.83,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,svm,7.612,11.291,13.41,7.321,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,mlp_deep,7.7,12.552,18.223,7.639,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,poly3,3.029,7.622,33.48,3.547,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,svm,2.551,4.733,9.978,2.68,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,mlp_deep,2.866,7.012,20.153,3.288,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,poly3,4.134,9.531,33.71,4.649,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,svm,3.739,7.785,11.458,4.008,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,mlp_deep,3.75,9.566,22.221,4.347,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,poly3,6.707,12.862,34.242,7.04,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,svm,6.014,12.294,15.477,6.392,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,mlp_deep,6.399,12.984,19.252,6.865,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,poly3,4.596,10.981,35.169,5.233,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,svm,4.071,9.244,16.032,4.542,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,mlp_deep,4.248,11.109,20.849,5.078,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,poly3,3.574,10.252,35.833,4.425,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,svm,3.255,8.841,25.945,3.867,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,mlp_deep,3.507,10.038,28.384,4.355,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,poly3,3.159,7.924,34.213,3.793,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,svm,2.729,5.805,10.289,3.019,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,mlp_deep,2.931,7.719,19.348,3.489,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,poly3,3.225,8.12,34.213,3.831,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,svm,2.774,5.854,9.555,3.07,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,mlp_deep,2.943,7.941,19.526,3.504,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,poly3,5.558,12.328,33.602,6.117,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,svm,5.239,10.186,19.705,5.522,1485
IFRA-wb-SudK_99_2_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,mlp_deep,5.31,11.666,22.578,5.916,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,poly3,3.343,9.338,34.063,4.101,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,svm,3.378,6.915,13.843,3.668,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,mlp_deep,3.525,7.635,15.705,3.889,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,poly3,5.256,13.431,31.851,6.34,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,svm,5.326,12.003,16.963,5.987,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,mlp_deep,5.381,12.147,18.04,6.03,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,poly3,3.138,9.79,31.98,4.031,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,svm,3.133,7.68,14.156,3.641,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,mlp_deep,3.383,8.439,17.629,3.879,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,poly3,6.569,12.031,32.998,6.741,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,svm,6.313,10.622,16.524,6.372,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,mlp_deep,6.282,10.985,15.314,6.383,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,poly3,2.947,8.443,32.843,3.642,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,svm,2.497,6.671,13.004,3.019,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,mlp_deep,2.842,7.267,16.151,3.36,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,poly3,3.719,8.832,33.764,4.266,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,svm,3.637,7.334,15.266,3.854,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,mlp_deep,3.817,7.759,15.802,4.101,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,poly3,6.2,11.949,32.831,6.428,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,svm,5.873,10.96,14.069,6.038,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,mlp_deep,6.145,11.304,16.266,6.271,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,poly3,3.223,12.173,33.105,4.592,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,svm,3.069,10.777,18.468,4.171,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,mlp_deep,3.501,11.141,18.017,4.434,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,poly3,3.944,8.505,33.56,4.377,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,svm,3.398,7.536,13.197,3.793,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,mlp_deep,3.856,8.314,13.683,4.138,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,poly3,2.971,8.086,32.599,3.549,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,svm,2.638,6.163,12.352,2.991,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,mlp_deep,2.956,6.977,15.283,3.334,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,poly3,2.766,7.941,33.121,3.405,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,svm,2.524,5.985,12.137,2.835,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,mlp_deep,2.782,6.678,15.477,3.18,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,poly3,4.569,12.074,32.332,5.504,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,svm,4.48,10.65,17.056,5.086,1485
IFRA-wb-Sudz_100_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,mlp_deep,4.667,11.041,17.606,5.232,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,poly3,2.259,5.515,23.498,2.667,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,svm,2.072,4.381,11.113,2.287,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,mlp_deep,2.366,5.297,11.138,2.638,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,poly3,5.281,9.49,21.922,5.463,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,svm,5.328,8.321,12.145,5.235,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,mlp_deep,5.296,8.87,13.272,5.32,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,poly3,2.156,5.465,22.559,2.58,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,svm,2.039,4.351,10.291,2.238,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,mlp_deep,2.226,5.225,11.205,2.546,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,poly3,6.586,10.253,21.348,6.465,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,svm,6.47,9.769,12.124,6.187,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,mlp_deep,6.693,10.006,14.108,6.352,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,poly3,1.879,4.599,22.801,2.228,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,svm,1.579,3.398,10.083,1.725,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,mlp_deep,1.964,4.939,9.588,2.255,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,poly3,3.052,6.114,23.349,3.348,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,svm,2.93,5.363,10.065,3.062,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,mlp_deep,3.114,6.292,12.405,3.377,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,poly3,6.272,10.895,22.512,6.395,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,svm,5.981,10.598,13.326,6.067,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,mlp_deep,6.356,10.862,16.271,6.464,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,poly3,3.829,9.934,22.396,4.565,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,svm,3.469,9.459,14.582,4.252,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,mlp_deep,3.87,9.682,17.831,4.524,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,poly3,3.088,6.158,22.294,3.345,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,svm,2.808,5.673,10.603,3.041,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,mlp_deep,3.083,6.865,14.171,3.429,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,poly3,2.586,8.467,23.536,3.4,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,svm,2.52,7.461,21.105,3.157,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,mlp_deep,2.875,8.446,19.499,3.615,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,poly3,1.404,4.093,22.037,1.767,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,svm,0.932,2.694,9.233,1.129,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,mlp_deep,1.422,4.292,9.304,1.754,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,poly3,3.815,9.151,22.726,4.355,1485
IFRA-wb-TagesA_147_2_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,svm,3.522,8.352,15.7,4.026,1485
