dataset,model,cv,median,p95,max,mean,n
IFRA-wb-PressJ_158_wb-CMYK,gaussian_process,grouped,2.124,5.153,10.277,2.418,1485
IFRA-wb-PressJ_158_wb-CMYK,poly3,kfold,3.152,9.998,36.131,4.05,1485
IFRA-wb-PressJ_158_wb-CMYK,poly3,grouped,3.126,10.18,32.668,4.006,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,noise_floor,pairs,0.555,1.676,1.986,0.644,28
IFRA-wb-RZPOI_125_2_wb-CMYK,gaussian_process,kfold,0.899,2.039,3.603,0.997,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,gaussian_process,grouped,0.892,2.054,4.695,1.005,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,poly3,kfold,1.542,5.415,35.549,2.094,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,poly3,grouped,1.53,5.267,31.267,2.071,1485
IFRA-wb-SudK_99_2_wb-CMYK,noise_floor,pairs,0.487,2.25,2.47,0.808,28
IFRA-wb-SudK_99_2_wb-CMYK,gaussian_process,kfold,1.172,2.689,5.667,1.308,1485
IFRA-wb-SudK_99_2_wb-CMYK,gaussian_process,grouped,1.165,2.717,5.821,1.303,1485
IFRA-wb-SudK_99_2_wb-CMYK,poly3,kfold,1.9,6.448,37.127,2.564,1485
IFRA-wb-SudK_99_2_wb-CMYK,poly3,grouped,1.858,6.383,35.506,2.54,1485
IFRA-wb-Sudz_100_wb-CMYK,noise_floor,pairs,0.836,3.414,8.26,1.356,28
IFRA-wb-Sudz_100_wb-CMYK,gaussian_process,kfold,1.392,4.746,15.463,1.843,1485
IFRA-wb-Sudz_100_wb-CMYK,gaussian_process,grouped,1.377,4.74,15.172,1.824,1485
IFRA-wb-Sudz_100_wb-CMYK,poly3,kfold,2.081,7.253,33.635,2.838,1485
IFRA-wb-Sudz_100_wb-CMYK,poly3,grouped,2.061,7.159,28.702,2.803,1485
IFRA-wb-TagesA_147_2_wb-CMYK,noise_floor,pairs,0.673,1.503,1.589,0.731,28
IFRA-wb-TagesA_147_2_wb-CMYK,gaussian_process,kfold,0.847,2.234,6.994,0.999,1485
IFRA-wb-TagesA_147_2_wb-CMYK,gaussian_process,grouped,0.829,2.188,5.853,0.988,1485
IFRA-wb-TagesA_147_2_wb-CMYK,poly3,kfold,1.383,4.36,27.231,1.849,1485
IFRA-wb-TagesA_147_2_wb-CMYK,poly3,grouped,1.396,4.251,28.567,1.824,1485
IFRA-wb-TagesA_147_wb-CMYK,noise_floor,pairs,0.606,1.863,2.01,0.752,28
IFRA-wb-TagesA_147_wb-CMYK,gaussian_process,kfold,0.835,2.038,6.175,0.954,1485
IFRA-wb-TagesA_147_wb-CMYK,gaussian_process,grouped,0.821,1.996,4.569,0.946,1485
IFRA-wb-TagesA_147_wb-CMYK,poly3,kfold,1.416,4.334,27.204,1.831,1485
IFRA-wb-TagesA_147_wb-CMYK,poly3,grouped,1.405,4.148,29.909,1.808,1485
IFRA-wb-marca_133_wb-CMYK,noise_floor,pairs,1.934,6.63,8.099,2.573,28
IFRA-wb-marca_133_wb-CMYK,gaussian_process,kfold,1.984,5.083,10.945,2.319,1485
IFRA-wb-marca_133_wb-CMYK,gaussian_process,grouped,1.974,5.15,10.648,2.316,1485
IFRA-wb-marca_133_wb-CMYK,poly3,kfold,2.138,5.734,27.42,2.566,1485
IFRA-wb-marca_133_wb-CMYK,poly3,grouped,2.139,5.849,29.754,2.562,1485
KCMYG-5,gaussian_process,kfold,0.852,2.332,40.26,1.172,2214
KCMYG-5,gaussian_process,grouped,0.867,2.267,31.738,1.123,2214
KCMYG-5,poly3,kfold,1.482,8.277,50.126,2.612,2214
KCMYG-5,poly3,grouped,1.457,7.928,65.742,2.578,2214
CMYKOGV-7,gaussian_process,kfold,0.253,4.703,50.056,1.23,3302
CMYKOGV-7,gaussian_process,grouped,0.249,4.497,49.757,1.17,3302
CMYKOGV-7,poly3,kfold,5.312,25.0,54.752,8.14,3302
CMYKOGV-7,poly3,grouped,5.386,25.15,59.833,8.172,3302
CMYKOGB-7,noise_floor,pairs,0.348,0.687,0.935,0.375,190
CMYKOGB-7,gaussian_process,kfold,1.291,8.214,48.409,2.429,2000
CMYKOGB-7,gaussian_process,grouped,1.28,8.066,44.305,2.395,2000
CMYKOGB-7,poly3,kfold,3.211,24.628,53.298,6.845,2000
CMYKOGB-7,poly3,grouped,3.332,24.845,48.974,6.757,2000
