SAMPLE_ID,INK_1,INK_2,INK_3,INK_4,INK_5,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B
16,0.0,50.0,0.0,0.0,0.0,57.2076636326,42.9505577942,49.0029078076,71.5214005271,42.8835264008,-17.2138960434
17,0.0,60.0,0.0,0.0,0.0,52.0077411852,35.5335026994,43.0928635157,66.1619357103,52.8489014491,-19.4043639221
18,0.0,70.0,0.0,0.0,0.0,47.7290355135,29.9833809183,38.0691170324,61.6398802068,60.858393601,-20.6818214792
19,0.0,80.0,0.0,0.0,0.0,43.2134609318,24.7651397818,32.5629824799,56.8458670881,68.6338457734,-21.1053451497
20,0.0,90.0,0.0,0.0,0.0,39.677277066,21.1986237928,28.2132827126,53.1661939939,73.7593260437,-20.6030063686
21,0.0,100.0,0.0,0.0,0.0,34.0851548993,16.8018967098,21.5194800706,48.0094495867,77.6234679316,-17.42124366
22,0.0,0.0,10.0,0.0,0.0,77.1619832282,79.7911189675,63.687427469,91.5910570641,0.441085085094,2.04034167204
23,0.0,0.0,20.0,0.0,0.0,75.2324225893,78.4345243712,55.3075321627,90.977820352,-0.817683630436,9.41078589236
24,0.0,0.0,30.0,0.0,0.0,73.5222498035,77.3309474493,46.9790568149,90.4737212599,-2.15938590577,17.8095218224
25,0.0,0.0,40.0,0.0,0.0,71.3479345491,75.5986677573,38.1981628815,89.6726754836,-3.25459722129,27.4761581926
26,0.0,0.0,50.0,0.0,0.0,69.7585093283,74.4073296164,30.6664456552,89.1146451995,-4.23267662908,37.4357049902
27,0.0,0.0,60.0,0.0,0.0,67.939686742,72.7914942453,23.1830412299,88.3481772944,-4.86429334081,48.9169347011
