SAMPLE_ID,INK_1,INK_2,INK_3,INK_4,INK_5,INK_6,INK_7,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B
1725,100.0,100.0,0.0,50.0,100.0,100.0,100.0,1.48383263365,1.21341922274,0.608562638282,10.655997937,9.46752068256,6.88562470814
1726,50.0,0.0,100.0,50.0,0.0,0.0,0.0,12.9405355697,16.462075232,3.18583646344,47.5749728321,-18.0433869435,42.013870853
1727,50.0,100.0,0.0,50.0,100.0,100.0,100.0,1.4465333919,1.19446354496,0.567773316498,10.5164647626,9.01805096698,7.41495982638
1728,100.0,0.0,100.0,50.0,0.0,0.0,0.0,4.26465205734,8.59175625771,3.16691465801,35.1860918741,-43.8111668136,20.7878268493
1729,0.0,100.0,0.0,50.0,100.0,100.0,100.0,1.4991540729,1.25887177814,0.614068753823,10.98475556,8.47704097109,7.34851876575
1730,0.0,50.0,100.0,50.0,0.0,0.0,0.0,15.4756222328,13.3953765357,2.21766963558,43.3530395285,15.8844076211,42.423752456
1731,100.0,50.0,0.0,50.0,100.0,100.0,100.0,0.949286329726,0.860867721545,0.782855243103,7.77618624473,4.67634857846,-1.34689654095
1732,50.0,50.0,100.0,50.0,0.0,0.0,0.0,9.10215306244,9.50784965175,2.277138444,36.9442447845,-0.55079401227,30.8433177106
1733,50.0,50.0,0.0,50.0,100.0,100.0,100.0,1.01271711855,0.934512893768,0.794424212698,8.43354160379,4.17843732826,-0.42107343494
1734,100.0,50.0,100.0,50.0,0.0,0.0,0.0,3.23086122725,5.357517251,2.514101706,27.7299702547,-27.3007794724,12.9289312224
1735,0.0,50.0,0.0,50.0,100.0,100.0,100.0,0.972583509979,0.903579511864,0.704098542133,8.16091889947,3.8875748013,0.780498095945
1736,0.0,100.0,100.0,50.0,0.0,0.0,0.0,10.7608921955,6.30975329972,1.40189953375,30.1808705724,41.6666573484,28.2060719391
1737,100.0,0.0,0.0,50.0,100.0,100.0,100.0,0.623629528301,0.618800378678,0.93831410722,5.58960090206,1.08706485017,-7.75209237545
1738,50.0,100.0,100.0,50.0,0.0,0.0,0.0,6.21287744693,4.147850259,1.47711894604,24.1543264799,27.3670677982,16.9118688414
1739,50.0,0.0,0.0,50.0,100.0,100.0,100.0,0.679118143816,0.686620704473,0.881708197689,6.20221939311,0.686921299689,-5.77261448722
1740,100.0,100.0,100.0,50.0,0.0,0.0,0.0,2.47531490777,2.3498953756,1.52745643188,17.2257019373,4.28058142594,4.37827067562
1741,0.0,0.0,0.0,50.0,100.0,100.0,100.0,0.753787824045,0.766741861555,0.871819684933,6.92595083758,0.582312847926,-4.35949735101
1742,50.0,100.0,100.0,0.0,100.0,100.0,100.0,1.65799424292,1.64018820735,0.783653037866,13.4728783076,2.01260158981,8.4606084366
1743,100.0,50.0,100.0,0.0,100.0,100.0,100.0,1.15940516041,1.29910544108,0.824448152435,11.2692246532,-2.99418005856,3.93864087249
1744,50.0,50.0,0.0,100.0,0.0,0.0,0.0,2.24115247619,2.07228053958,1.53697695987,15.8620835493,5.35240178044,1.91750934058
1745,50.0,50.0,100.0,0.0,100.0,100.0,100.0,1.14254611592,1.29930887525,0.81223538527,11.2706479923,-3.55823505023,4.15485886282
1746,100.0,50.0,0.0,100.0,0.0,0.0,0.0,1.4412786519,1.55899507038,1.68526447007,12.9782999351,-1.74280628337,-4.70749029206
