SAMPLE_ID,INK_1,INK_2,INK_3,INK_4,INK_5,INK_6,INK_7,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B
1263,20.0,0.0,40.0,0.0,0.0,0.0,100.0,5.44831,3.19591,10.4618,20.812,33.195,-37.015
1264,40.0,70.2,40.0,0.0,0.0,0.0,40.0,11.3016,7.84028,9.28915,33.648,30.696,-10.98
1265,0.0,0.0,0.0,0.0,70.2,70.2,0.0,16.3436,16.2818,6.1521,47.342,3.687,25.025
1266,100.0,0.0,70.2,0.0,0.0,0.0,0.0,8.31307,17.8659,13.1615,49.333,-60.722,4.168
1267,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.5914,28.3292,22.934,60.185,-74.712,0.82
1268,100.0,100.0,0.0,40.0,100.0,40.0,0.0,3.76965,2.60046,0.773834,18.367,21.566,17.073
1269,20.0,70.2,100.0,0.0,0.0,40.0,0.0,13.0416,10.9689,2.53691,39.528,17.315,33.077
1270,70.2,20.0,0.0,0.0,0.0,0.0,100.0,4.4018,2.25102,15.5296,16.753,37.523,-58.155
1271,100.0,0.0,100.0,0.0,0.0,40.0,100.0,1.08183,1.11243,1.61839,9.895,0.319,-9.295
1272,70.2,40.0,40.0,0.0,40.0,0.0,0.0,13.056,11.8552,8.49626,40.985,11.129,4.5
1273,40.0,0.0,40.0,40.0,0.0,40.0,100.0,1.6431,1.26059,3.05285,10.997,12.301,-20.103
1274,40.0,20.0,40.0,0.0,0.0,0.0,70.2,8.87761,7.10688,12.5774,32.049,18.669,-24.003
1275,40.0,20.0,70.2,0.0,70.2,0.0,0.0,26.2602,19.4373,2.88507,51.195,34.467,50.448
1276,40.0,100.0,0.0,0.0,0.0,0.0,20.0,13.2207,6.94047,11.7427,31.671,52.351,-22.237
1277,70.2,0.0,40.0,0.0,0.0,70.2,0.0,9.11085,19.4886,15.3916,51.254,-62.151,1.67
