Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev
1.0,14.9794586536,9.59805197998,57.7614645598,42.7234937364,13.3765948541
2.0,8.73776833027,6.43843066004,41.7552846066,22.9035198549,6.73031016405
3.0,7.73940379538,5.53889871976,41.7874808808,22.0034373836,6.62850322653
4.0,7.88846881321,6.31384988118,38.3321082024,22.3687672763,6.63546647164
5.0,8.09712014317,6.68720153742,36.4749169351,22.9096250751,6.61629422272
6.0,7.87417352336,6.53064987114,37.371781696,21.2963451363,6.47887059803
7.0,8.01200494921,6.54593126114,36.9809179864,21.7104509981,6.55812656473
8.0,7.86180671944,6.09558885001,40.3679311019,22.9208422198,6.94680880644
9.0,7.50373719293,5.72908595873,34.8858658465,20.8018087871,6.39047162395
10.0,8.01905834839,5.6698157729,56.0302186629,20.936879278,7.55501175419
