Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev
"{'model': <class 'sklearn.svm._classes.SVR'>, 'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale', 'epsilon': 0.1}",11.4918964973,10.1754260652,42.7917358311,30.0727476794,7.96854900547
"{'model': <class 'sklearn.svm._classes.SVR'>, 'kernel': 'linear', 'C': 0.1, 'gamma': 'auto', 'epsilon': 0.2}",18.9631557801,12.6289613988,68.4767324675,53.6374511961,14.9459356985
"{'model': <class 'sklearn.svm._classes.SVR'>, 'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale', 'epsilon': 0.1}",11.4918964973,10.1754260652,42.7917358311,30.0727476794,7.96854900547
