Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev,Algorithm
"{'model': <class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>, 'random_state': 42}",1.2720821823,0.979734716604,4.76112565879,3.22047551871,1.00449833106,Bayesian
"{'model': <class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>, 'random_state': 42}",1.2720821823,0.979734716604,4.76112565879,3.22047551871,1.00449833106,Bayesian
"{'model': <class 'sklearn.tree._classes.DecisionTreeRegressor'>, 'max_depth': None, 'min_samples_split': 2, 'random_state': 42}",1.54032116002,1.37492894447,4.72511922093,3.61069057259,1.07937465836,DecisionTree
"{'model': <class 'sklearn.tree._classes.DecisionTreeRegressor'>, 'max_depth': 10, 'min_samples_split': 5, 'random_state': 42}",1.56207144885,1.33962145407,4.72511922093,3.65989354343,1.08411884014,DecisionTree
"{'model': <class 'sklearn.tree._classes.DecisionTreeRegressor'>, 'max_depth': None, 'min_samples_split': 2, 'random_state': 42}",1.54032116002,1.37492894447,4.72511922093,3.61069057259,1.07937465836,DecisionTree
"{'model': <class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>, 'hidden_layer_sizes': (100,), 'activation': 'relu', 'solver': 'adam', 'random_state': 42}",1.71155335712,1.51264900698,4.66789862367,3.59962195984,1.015370614,DeepLearning
"{'model': <class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>, 'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'solver': 'sgd', 'random_state': 42}",2.44451150598,2.2712167241,5.82097546383,4.81335821076,1.40501233477,DeepLearning
"{'model': <class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>, 'hidden_layer_sizes': (100,), 'activation': 'relu', 'solver': 'adam', 'random_state': 42}",1.71155335712,1.51264900698,4.66789862367,3.59962195984,1.015370614,DeepLearning
"{'model': <class 'sklearn.linear_model._coordinate_descent.ElasticNet'>, 'alpha': 1.0, 'l1_ratio': 0.5, 'random_state': 42}",3.89202326895,3.73458656983,8.69062984356,7.28431402384,1.95349124387,Elastic
"{'model': <class 'sklearn.linear_model._coordinate_descent.ElasticNet'>, 'alpha': 0.5, 'l1_ratio': 0.7, 'random_state': 42}",3.89202326895,3.73458656983,8.69062984356,7.28431402384,1.95349124387,Elastic
