Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev
"{'model': <class 'sklearn.linear_model._ridge.Ridge'>, 'alpha': 1.0, 'random_state': 42}",14.1782584265,9.19382268476,54.0192133945,40.0288995664,12.3753806295
"{'model': <class 'sklearn.linear_model._ridge.Ridge'>, 'alpha': 0.5, 'random_state': 42}",14.2100268774,9.16401678583,54.237215314,40.1396824823,12.4404469025
"{'model': <class 'sklearn.linear_model._ridge.Ridge'>, 'alpha': 1.0, 'random_state': 42}",14.1782584265,9.19382268476,54.0192133945,40.0288995664,12.3753806295
