Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev
"{'model': <class 'sklearn.cross_decomposition._pls.PLSRegression'>, 'n_components': 2}",21.6978844561,19.0846538388,64.8494444789,43.8968988943,11.8581280287
"{'model': <class 'sklearn.cross_decomposition._pls.PLSRegression'>, 'n_components': 3}",14.2423599117,9.13410633001,54.4554124844,40.2565747223,12.5058276337
"{'model': <class 'sklearn.cross_decomposition._pls.PLSRegression'>, 'n_components': 3}",14.2423599117,9.13410633001,54.4554124844,40.2565747223,12.5058276337
