Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 10, 'max_depth': 5, 'random_state': 42}",9.15754314094,8.07946445846,35.9997776973,18.6670174497,5.588156745
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 50, 'max_depth': 5, 'random_state': 42}",8.88569362694,8.17946622208,35.0045270905,17.8435450622,5.38113363317
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 100, 'max_depth': 10, 'random_state': 42}",7.05942198756,5.01075872783,30.8739919408,18.7942394809,6.02364333187
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 200, 'max_depth': 15, 'random_state': 42}",7.04374814334,5.33457370978,30.7689535298,18.984190743,6.05629101262
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 300, 'max_depth': 20, 'random_state': 42}",7.0641289475,5.64130881165,30.7128238131,19.1744235289,6.03450341771
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 200, 'max_depth': 15, 'random_state': 42}",7.04374814334,5.33457370978,30.7689535298,18.984190743,6.05629101262
