Configuration,Mean Error,Median Error,Max Error
"{'model': <class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>, 'random_state': 42}",1.4663240614844737,1.1101037543573093,5.960127803705333
"{'model': <class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>, 'random_state': 42}",1.4663240614844737,1.1101037543573093,5.960127803705333
