Configuration,Mean Error,Median Error,Max Error
"{'model': 'PCR', 'n_components': 3}",1.91625724261,1.72335240317,5.09980207965
"{'model': 'PCR', 'n_components': 3}",1.91625724261,1.72335240317,5.09980207965
