Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev
"{'hidden_layer_sizes': (6,), 'activation': 'logistic', 'solver': 'lbfgs', 'max_iter': 1000}",8.31938369557,6.47799000719,37.4251922089,20.518371259,6.19483036354
"{'hidden_layer_sizes': (6,), 'activation': 'logistic', 'solver': 'adam', 'max_iter': 1000}",25.0701160681,24.568161168,66.2686816374,45.5989088465,11.7793267756
"{'hidden_layer_sizes': (6,), 'activation': 'relu', 'solver': 'adam', 'max_iter': 1000}",19.6327906565,20.2595709536,39.6474527037,34.4655558069,8.42129102292
"{'hidden_layer_sizes': (6,), 'activation': 'tanh', 'solver': 'sgd', 'max_iter': 1000}",26.492530306,25.4709382364,67.0033999012,53.1933663725,13.5446004603
"{'hidden_layer_sizes': (10,), 'activation': 'relu', 'solver': 'adam', 'max_iter': 200}",15.8663555119,13.916586259,48.8901596985,36.2690030005,10.8312000883
"{'hidden_layer_sizes': (50, 30, 10), 'activation': 'tanh', 'solver': 'sgd', 'max_iter': 500}",15.8067085881,13.6583694082,62.5023529908,37.4106385133,10.9563460653
"{'hidden_layer_sizes': (10,), 'activation': 'relu', 'solver': 'adam', 'max_iter': 200}",15.8663555119,13.916586259,48.8901596985,36.2690030005,10.8312000883
"{'hidden_layer_sizes': (20, 10), 'activation': 'relu', 'solver': 'adam', 'max_iter': 300}",15.2766930383,12.4303863568,58.4834525782,33.350601473,9.64119844626
"{'hidden_layer_sizes': (30, 20, 10), 'activation': 'relu', 'solver': 'adam', 'max_iter': 400}",11.0548853203,9.13564801553,36.7416832778,22.7771438713,6.38716825675
"{'hidden_layer_sizes': (20,), 'activation': 'tanh', 'solver': 'adam', 'max_iter': 200}",14.6777254478,9.99500281698,52.5435443532,40.6978617016,12.0648857098
"{'hidden_layer_sizes': (20,), 'activation': 'logistic', 'solver': 'adam', 'max_iter': 200}",29.9540633146,27.2923277198,70.9880182109,59.9940228646,14.9405318492
"{'hidden_layer_sizes': (20,), 'activation': 'relu', 'solver': 'sgd', 'max_iter': 500}",23.6806520054,22.6096608237,52.1352202178,41.6752651303,10.2592963798
"{'hidden_layer_sizes': (20,), 'activation': 'relu', 'solver': 'lbfgs', 'max_iter': 1000}",8.56870130882,6.29856859101,34.2855397903,20.8916226871,6.05287507469
"{'hidden_layer_sizes': (20,), 'activation': 'relu', 'solver': 'adam', 'max_iter': 1000}",22.5389447786,18.8974382118,61.0664261658,51.1939742095,13.4521350528
"{'hidden_layer_sizes': (6,), 'activation': 'logistic', 'solver': 'lbfgs', 'max_iter': 1000}",8.31938369557,6.47799000719,37.4251922089,20.518371259,6.19483036354
