Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev
"{'model': 'PCR', 'n_components': 3}",13.6685666366,8.7409557978,60.6720700694,42.7303004944,12.6179601802
"{'model': 'PCR', 'n_components': 3}",13.6685666366,8.7409557978,60.6720700694,42.7303004944,12.6179601802
