Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 10, 'max_depth': 5, 'random_state': 42}",9.95568006447,7.97936299503,50.7949786602,21.5580335064,7.17115102422
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 50, 'max_depth': 5, 'random_state': 42}",9.93042798905,8.40652454616,50.4687813672,21.9489916032,7.12803891361
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 100, 'max_depth': 10, 'random_state': 42}",7.78129588824,5.51153383014,43.3779698618,19.5584552409,7.3313106928
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 200, 'max_depth': 15, 'random_state': 42}",7.72791389072,5.54944350266,43.0429430024,19.457020266,7.30200373298
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 300, 'max_depth': 20, 'random_state': 42}",7.71901005013,5.51555632511,43.0463590932,19.3720881153,7.29803755545
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 300, 'max_depth': 20, 'random_state': 42}",7.71901005013,5.51555632511,43.0463590932,19.3720881153,7.29803755545
