dataset,model,seed,median,p95,max,mean,n
PC11-CMY,mlp_deep,42,1.0074,3.5405,22.5597,1.3813,795
PC11-CMYK,poly3,0,0.8643,7.2381,31.8974,1.994,1588
PC11-CMYK,poly3,1,0.8685,7.3296,32.0992,1.9865,1588
PC11-CMYK,poly3,2,0.8665,7.3092,33.0492,1.9911,1588
PC11-CMYK,poly3,3,0.8583,7.461,31.5051,2.0053,1588
PC11-CMYK,poly3,42,0.8694,7.5005,33.0696,2.0094,1588
PC11-CMYK,svm,0,0.9864,4.625,12.4103,1.4883,1588
PC11-CMYK,svm,1,0.9984,5.5247,20.3968,1.5943,1588
PC11-CMYK,svm,2,1.0011,4.9267,19.1777,1.5533,1588
PC11-CMYK,svm,3,0.9836,5.1236,16.9339,1.5573,1588
PC11-CMYK,svm,42,1.0021,4.7119,19.3805,1.5296,1588
PC11-CMYK,gaussian_process,0,0.0566,0.3977,7.5652,0.1321,1588
PC11-CMYK,gaussian_process,1,0.0568,0.3768,10.7694,0.1428,1588
PC11-CMYK,gaussian_process,2,0.058,0.4237,9.3108,0.1457,1588
PC11-CMYK,gaussian_process,3,0.0596,0.3817,4.5388,0.1354,1588
PC11-CMYK,gaussian_process,42,0.057,0.3826,7.6841,0.1331,1588
PC11-CMYK,knn,0,2.2238,5.3675,13.6845,2.5177,1588
PC11-CMYK,knn,1,2.1674,5.5152,13.2065,2.5751,1588
PC11-CMYK,knn,2,2.1845,5.5999,13.6062,2.5657,1588
PC11-CMYK,knn,3,2.1317,5.5072,14.9049,2.536,1588
PC11-CMYK,knn,42,2.1457,5.5072,10.8677,2.5158,1588
PC11-CMYK,mlp_deep,0,1.6373,10.6178,34.5094,2.9732,1588
PC11-CMYK,mlp_deep,1,1.5416,9.6144,30.1356,2.661,1588
PC11-CMYK,mlp_deep,2,1.6201,9.5613,37.039,2.8363,1588
PC11-CMYK,mlp_deep,3,1.5521,9.8901,38.9003,2.8346,1588
PC11-CMYK,mlp_deep,42,1.592,10.4451,28.4905,2.8586,1588
FOGRA51-CMY,poly3,0,0.3669,1.0919,8.7393,0.4915,795
FOGRA51-CMY,poly3,1,0.3665,1.1463,6.9199,0.4913,795
FOGRA51-CMY,poly3,2,0.369,1.0689,9.3978,0.4892,795
FOGRA51-CMY,poly3,3,0.3658,1.1355,8.0949,0.4949,795
FOGRA51-CMY,poly3,42,0.369,1.1351,8.251,0.4956,795
FOGRA51-CMY,svm,0,0.7954,1.8219,5.0175,0.9105,795
FOGRA51-CMY,svm,1,0.7882,1.7687,5.0977,0.8881,795
FOGRA51-CMY,svm,2,0.7905,1.8271,4.7973,0.8892,795
FOGRA51-CMY,svm,3,0.7951,1.8205,5.2865,0.9105,795
FOGRA51-CMY,svm,42,0.7931,1.8649,6.093,0.9114,795
FOGRA51-CMY,gaussian_process,0,0.057,0.1603,0.4691,0.0694,795
