source,n,mean,median,p90,p95,max,std,provenance
colourbill Compare (A=APTEC_PC10 standard vs B=PC10_poly4lab_cv_predictions.txt),1617,0.16,0.11,0.29,0.38,2.41,0.19,"Compare > Comparison Statistics + Percentiles (dE00) table, chardata.colourbill.com v1.18.0, 2026-08-11 (Min dE00 0.01)"
our computation (colour-science CIE2000 on same prediction file),1617,0.157,0.110,,0.380,2.412,,"journal/figures/fig_vs_colourbill.py poly_lab_cv row PC10-CMYK; predictions regenerated identically when writing the CGATS file"
